,Original Review,Opinion Words,Maximum scored Opinion Words,Final Opnion Words,Average,Reviewer Rating,Calculated rating
63,"I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.","[('first', 0.25), ('loved', 0.7), ('received', 0.0), ('back', 0.0), ('deal', 0.0), ('guess', 0.0), ('good', 0.7), ('feel', 0.0), ('shortly', 0.0), ('really', 0.2), ('purchase', 0.0), ('started', 0.0), ('sometimes', 0.0)]","[('loved', 0.7)]","[('really', 0.2), ('first', 0.25), ('loved', 0.7), ('good', 0.7)]",[0.37],Negative,Positive
64,"The color is more dark in person, and this isnt the best protection case. I get a lot of compliments on the case, and it was easy to put on.","[('easy', 0.43333333333333335), ('get', 0.0), ('person', 0.0), ('best', 1.0), ('lot', 0.0), ('put', 0.0), ('color', 0.0), ('protection', 0.0), ('dark', -0.15)]","[('best', 1.0)]","[('best', 1.0), ('easy', 0.43333333333333335)]",[0.4777777777777778],Positive,Positive
65,Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.,"[('liked', 0.6), ('change', 0.0), ('way', 0.0), ('look', 0.0), ('great', 0.8), ('help', 0.0), ('really', 0.2)]","[('great', 0.8)]","[('great', 0.8), ('liked', 0.6), ('really', 0.2)]",[0.39999999999999997],Positive,Positive
66,The case is pretty good. It dose have some scratches on one side of the phone but its every little. Other then that i like it. Ive dropped my phone a few times since putting on the case and it didnt break or scratch. Ive gotten many complements on this case and over all it was worth the few bucks I spent.,"[('little', -0.1875), ('dropped', 0.0), ('side', 0.0), ('break', 0.0), ('like', 0.0), ('good', 0.7), ('many', 0.5), ('give', 0.0), ('worth', 0.3)]","[('good', 0.7)]","[('little', -0.1875), ('worth', 0.3), ('good', 0.7), ('many', 0.5)]",[0.26250000000000001],Positive,Positive
67,This case is afordable and yes it peels veryery easy but thats to be expected because its a dollor. I bought mine from Electromaster. It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for. its only a dollar so do not get your hopes up. it looks great but its for show not for protection. if you want your phone to be protected go the extra mile for an outter box,"[('want', 0.0), ('protected', 0.0), ('get', 0.0), ('snap', 0.0), ('great', 0.8), ('go', 0.0), ('utter', 0.0), ('box', 0.0), ('extra', 0.0), ('bought', 0.0), ('easy', 0.43333333333333335), ('fine', 0.4166666666666667), ('protection', 0.0), ('expected', -0.1), ('show', 0.0)]","[('great', 0.8)]","[('easy', 0.43333333333333335), ('fine', 0.4166666666666667), ('great', 0.8)]",[0.41250000000000003],Positive,Positive
68,This is one of my favorite cases I have this one on my phone I really love the color a lot.,"[('love', 0.5), ('lot', 0.0), ('color', 0.0), ('favorite', 0.5), ('really', 0.2)]","[('love', 0.5)]","[('really', 0.2), ('love', 0.5)]",[0.23333333333333331],Positive,Positive
69,It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again,"[('broken', -0.4), ('get', 0.0), ('got', 0.0), ('used', 0.0), ('like', 0.0), ('paint', 0.0)]","[('broken', 0.4)]","[('broken', -0.4)]",[-0.20000000000000001],Negative,Negative
70,"This case for some reason is peeling, there is not much left of the orginal skin, i  loved the case with pink being my favorite color but i would not recommend this specific one for anyone.","[('original', 0.375), ('loved', 0.7), ('reason', 0.0), ('much', 0.2), ('color', 0.0), ('pink', -0.1), ('favorite', 0.5)]","[('loved', 0.7)]","[('original', 0.375), ('loved', 0.7)]",[0.35833333333333334],Negative,Positive
71,Its rubberized does not look like it in the picture but it is It is really cute I love this case used it for awhile but I switch out cases like I do my shoes.,"[('awhile', 0.0), ('love', 0.5), ('used', 0.0), ('look', 0.0), ('switch', 0.0), ('like', 0.0), ('rubberized', 0.0), ('cut', 0.0), ('picture', 0.0), ('really', 0.2)]","[('love', 0.5)]","[('really', 0.2), ('love', 0.5)]",[0.23333333333333331],Positive,Positive
72,"Received this in about a weeks time. Very nice actually considering how cheap the price was. It is a pink/purple with black leopard spots and has a veryery nice feel to it. I have not tried to remove it yet, but hopefully it will not give me any trouble when I do want to change covers.","[('want', 0.0), ('received', 0.0), ('remove', 0.0), ('price', 0.0), ('cheap', 0.4), ('tried', 0.0), ('nice', 0.6), ('pink', -0.1), ('feel', 0.0), ('trouble', -0.2), ('black', -0.16666666666666666), ('give', 0.0), ('yet', 0.0), ('change', 0.0)]","[('nice', 0.6)]","[('cheap', 0.4), ('nice', 0.6)]",[0.33333333333333331],Positive,Positive
73,This case was by far the best case I bought for this phone.  It is veryery stylish and I received many compliments,"[('received', 0.0), ('best', 1.0), ('bought', 0.0), ('many', 0.5), ('stylish', 0.5)]","[('best', 1.0)]","[('best', 1.0), ('stylish', 0.5), ('many', 0.5)]",[0.5],Positive,Positive
74,"This is the cutest case EVER!  I love it because it was easy to apply.  I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched.  This case keeps my phone intact and protected at the same time...WOO HOO!!","[('protected', 0.0), ('love', 0.5), ('switch', 0.0), ('like', 0.0), ('apply', 0.0), ('many', 0.5), ('easy', 0.43333333333333335)]","[('love', 0.5)]","[('easy', 0.43333333333333335), ('many', 0.5), ('love', 0.5)]",[0.35833333333333334],Positive,Positive
75,my daughter liked it for a few days and then i didnt see it anymore on the phone. Use your judgement on that one.,"[('use', 0.0), ('liked', 0.6), ('see', 0.0)]","[('liked', 0.6)]","[('liked', 0.6)]",[0.29999999999999999],Positive,Positive
76,"very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!","[('fine', 0.4166666666666667), ('charge', 0.0), ('good', 0.7)]","[('good', 0.7)]","[('fine', 0.4166666666666667), ('good', 0.7)]",[0.37222222222222223],Positive,Positive
77,"This product arrived when promised and in the condition promised. It is a genuine Blackberry charger. It was brand new and worked perfectly. For the price, I do not think you can ask for much more than that!","[('condition', 0.0), ('think', 0.0), ('price', 0.0), ('genuine', 0.4), ('promised', 0.0), ('much', 0.2), ('charge', 0.0), ('brand', 0.0), ('ask', 0.0), ('perfectly', 1.0), ('product', 0.0), ('new', 0.13636363636363635)]","[('perfectly', 1.0)]","[('perfectly', 1.0), ('new', 0.13636363636363635)]",[0.37878787878787873],Positive,Positive
78,Great product. Use this with my Galaxy S4. At this price I bought 2 more. One for work and one to keep in the car incase I ever travel and forget my charger.,"[('forget', 0.0), ('travel', 0.0), ('price', 0.0), ('galaxy', 0.0), ('keep', 0.0), ('charge', 0.0), ('incise', 0.0), ('bought', 0.0), ('work', 0.0), ('great', 0.8), ('product', 0.0), ('use', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
79,"Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go. Though it does not exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.","[('take', 0.0), ('loved', 0.7), ('well', 0.0), ('end', 0.0), ('meet', 0.0), ('leaving', 0.0), ('model', 0.0), ('fast', 0.2), ('high', 0.16), ('go', 0.0), ('need', 0.0)]","[('loved', 0.7)]","[('loved', 0.7), ('high', 0.16), ('fast', 0.2)]",[0.26500000000000001],Positive,Positive
80,"I have had this charger well over a year now, and it still works perfectly.  Most chargers would have broken by now.  The folding blades make this more portable than the chargers that come with some Blackberry models that have adapters for different countries.","[('broken', -0.4), ('different', 0.0), ('well', 0.0), ('come', 0.0), ('charge', 0.0), ('adapted', 0.0), ('make', 0.0), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('broken', -0.4), ('perfectly', 1.0)]",[0.19999999999999998],Positive,Positive
81,"so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.","[('wall', 0.0), ('fast', 0.2), ('direct', 0.1), ('charge', 0.0), ('just', 0.0), ('need', 0.0)]","[('fast', 0.2)]","[('fast', 0.2)]",[0.10000000000000001],Positive,Negative
82,Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it is fit firmly in usb and has a short.,"[('bit', 0.0), ('right', 0.2857142857142857), ('short', 0.0), ('side', 0.0), ('seem', 0.0), ('galaxy', 0.0), ('fit', 0.4), ('charge', 0.0), ('good', 0.7), ('last', 0.0), ('great', 0.8), ('use', 0.0)]","[('great', 0.8)]","[('fit', 0.4), ('great', 0.8), ('right', 0.2857142857142857), ('good', 0.7)]",[0.43714285714285717],Positive,Positive
83,Another veryery good phone charger that does the job and has a  veryery affordable price that anyone can afford  to buy it.,"[('afford', 0.0), ('price', 0.0), ('buy', 0.0), ('charge', 0.0), ('good', 0.7), ('unfordable', 0.0)]","[('good', 0.7)]","[('good', 0.7)]",[0.34999999999999998],Positive,Positive
84,Works well. We use this for travel and it lives in our luggage most of the year. For the low price having an extra USB charger this works great. Charges our Galaxy S3 and Note 2.,"[('note', 0.0), ('well', 0.0), ('travel', 0.0), ('use', 0.0), ('price', 0.0), ('extra', 0.0), ('galaxy', 0.0), ('charge', 0.0), ('great', 0.8), ('low', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
85,"I needed a charger quick and I did not want to spend $20.00 at the convenience store for a short, crappy charger. For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed. I do not have to struggle to see my phone when I am laying down.Cons: The plug in is a little blocky but nothing to worry about. The connecter does not like to stay in place 100% of the time. It does NOT fall out but if you wiggle it just right it disconnects the charge. My phone is also old and the port is a little worn. That could be my issue.If you need a good charger for a cheap price. Buy this!","[('short', 0.0), ('cheap', 0.4), ('happy', 0.8), ('good', 0.7), ('little', -0.1875), ('place', 0.0), ('quick', 0.3333333333333333), ('price', 0.0), ('buy', 0.0), ('stay', 0.0), ('need', 0.0), ('want', 0.0), ('right', 0.2857142857142857), ('connected', 0.0), ('needed', 0.0), ('plug', 0.0), ('pro', 0.0), ('old', 0.1), ('worry', 0.0), ('perfect', 1.0), ('like', 0.0), ('issue', 0.0), ('charge', 0.0), ('see', 0.0), ('struggle', 0.0), ('great', 0.8), ('fall', 0.0), ('block', 0.0)]","[('perfect', 1.0)]","[('little', -0.1875), ('right', 0.2857142857142857), ('perfect', 1.0), ('cheap', 0.4), ('happy', 0.8), ('good', 0.7), ('great', 0.8)]",[0.47477678571428572],Positive,Positive
86,Bought as a spare charger for the house and turned into my main charger because my other one failed. Nice long cable and has held up for tons of charges for my Galaxy S3.,"[('spare', 0.0), ('cable', 0.0), ('galaxy', 0.0), ('nice', 0.6), ('charge', 0.0), ('bought', 0.0), ('long', -0.05), ('failed', -0.5)]","[('nice', 0.6)]","[('nice', 0.6), ('long', -0.05)]",[0.18333333333333332],Positive,Positive
87,The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I have been thru several!!!!,"[('start', 0.0), ('samson', 0.0), ('galaxy', 0.0), ('charge', 0.0), ('better', 0.5), ('need', 0.0), ('really', 0.2)]","[('better', 0.5)]","[('really', 0.2), ('better', 0.5)]",[0.23333333333333331],Negative,Positive
88,"This Charger is awesome! First of all I was not expecting it until between 12/12  and 12/17, but it arrived on 12/11,So That was a plus for me! Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things! but I figured what the heck its cheap, so what can I loose!  Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!! Yes i timed it!  and also the cord is long which is a plus for me!  So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I have had mine for a little over 2 weeks and it is still going strong!!  Love this charger  especially  for the length!!","[('sure', 0.5), ('mean', -0.3125), ('galaxy', 0.0), ('cheap', 0.4), ('long', -0.05), ('little', -0.1875), ('give', 0.0), ('well', 0.0), ('poor', -0.4), ('try', 0.0), ('price', 0.0), ('work', 0.0), ('mention', 0.0), ('charged', 0.0), ('love', 0.5), ('lot', 0.0), ('got', 0.0), ('awesome', 1.0), ('first', 0.25), ('fast', 0.2), ('quality', 0.0), ('charge', 0.0), ('strong', 0.4333333333333333), ('great', 0.8), ('going', 0.0)]","[('awesome', 1.0)]","[('sure', 0.5), ('little', -0.1875), ('first', 0.25), ('poor', -0.4), ('love', 0.5), ('fast', 0.2), ('cheap', 0.4), ('strong', 0.4333333333333333), ('long', -0.05), ('great', 0.8), ('awesome', 1.0)]",[0.28715277777777781],Positive,Positive
89,I purchase this for a backup at work.  It charges my SGS4.  I would recommend this charger for the Samsung Galaxy S4.,"[('samson', 0.0), ('back', 0.0), ('galaxy', 0.0), ('charge', 0.0), ('work', 0.0), ('purchase', 0.0)]","[('awesome', 0)]",[],[0.0],Positive,Negative
90,This charger woks wonderfully on the Samsung Galaxy S4.  it chargers the phone fast and the price is great!  Highly Recommended product!,"[('samson', 0.0), ('recommended', 0.0), ('price', 0.0), ('fast', 0.2), ('galaxy', 0.0), ('charge', 0.0), ('great', 0.8), ('product', 0.0)]","[('great', 0.8)]","[('great', 0.8), ('fast', 0.2)]",[0.33333333333333331],Positive,Positive
91,This is another great product and i will always order from here in the future. money spent well!! If you need a great car charger this is the one you need!!,"[('well', 0.0), ('order', 0.0), ('charge', 0.0), ('future', 0.0), ('great', 0.8), ('need', 0.0), ('product', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
92,goes into the lighter port a little rough but it charges the phone fine. I wish it had a little more reach so i could use the phone from the passenger seat of the car more comfortably but its not a big problem. it will reach pretty far because of the coiled section but this will put stress on the charge port of your phone which many people dont realize will eventually break it.,"[('little', -0.1875), ('coiled', 0.0), ('stress', 0.0), ('big', 0.0), ('dont', 0.0), ('reach', 0.0), ('break', 0.0), ('wish', 0.0), ('put', 0.0), ('realize', 0.0), ('charge', 0.0), ('many', 0.5), ('people', 0.0), ('fine', 0.4166666666666667), ('use', 0.0)]","[('many', 0.5)]","[('little', -0.1875), ('fine', 0.4166666666666667), ('many', 0.5)]",[0.18229166666666669],Positive,Positive
93,"I purchased two of these chargers for my sister and girlfriend. They both have Samsung Galaxy phones and needed a car charger so being the OEM fanboy I am, I swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price.I am happy to report I definitely received 2 OEM Samsung car chargers in the mail in sealed bags with part # barcodes (the kind you would normally receive in a new/refurb phone). Ca not go wrong with the price and certainly can not argue with the benefits of OEM verys. generic (mA output and reliability at the top of the list!).","[('galaxy', 0.0), ('happy', 0.8), ('wrong', -0.5), ('go', 0.0), ('purchased', 0.0), ('price', 0.0), ('fancy', 0.0), ('output', 0.0), ('samson', 0.0), ('needed', 0.0), ('swooped', 0.0), ('couple', 0.0), ('return', 0.0), ('part', 0.0), ('new', 0.13636363636363635), ('show', 0.0), ('received', 0.0), ('receive', 0.0), ('charge', 0.0), ('top', 0.5), ('going', 0.0)]","[('happy', 0.8)]","[('happy', 0.8), ('wrong', -0.5), ('new', 0.13636363636363635)]",[0.1090909090909091],Positive,Negative
94,I bought this for my Samsung Charge. It works perfectly and is built as solidly as the $20 Verizon charger. I highly recommend this car charger and thanks for the great price!,"[('samson', 0.0), ('price', 0.0), ('charge', 0.0), ('bought', 0.0), ('great', 0.8), ('solid', 0.0), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('great', 0.8), ('perfectly', 1.0)]",[0.59999999999999998],Positive,Positive
95,"It does what it needs to do, veryery pleased. I bought some other cheap lame one and will never go back.","[('back', 0.0), ('cheap', 0.4), ('bought', 0.0), ('go', 0.0), ('pleased', 0.5)]","[('pleased', 0.5)]","[('cheap', 0.4), ('pleased', 0.5)]",[0.29999999999999999],Positive,Positive
96,"Charger works great. Have not had any issues with it at all. I wish it has a retractable cord like some other chargers I have used, but other than that, I love it.","[('love', 0.5), ('used', 0.0), ('wish', 0.0), ('like', 0.0), ('charge', 0.0), ('intractable', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('great', 0.8), ('love', 0.5)]",[0.43333333333333335],Positive,Positive
97,It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail,"[('great', 0.8), ('connect', 0.0), ('fail', -0.5)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Negative,Positive
98,"The big store that is in every town now (can not say their name) either does not carry anything or is always out of stock. If they ever have anything is stock, it is cheap junk that does not last. I got this cord thru amazon for a fraction of the price I usually pay for the junk at that big national store. This cord works perfectly and has lasted for months now. I also bought at the same time 2 other cheaper charger cords thru amazon that work perfectly. Since this one still works, I have the other two to fall back on when this one finally goes out. This is a great car charger, and it does not cost near as much as the junk you get at the local store--not to mention this is the Samsung brand charger veryerses their junk.","[('get', 0.0), ('big', 0.0), ('name', 0.0), ('cheap', 0.4), ('much', 0.2), ('bought', 0.0), ('say', 0.0), ('perfectly', 1.0), ('price', 0.0), ('pay', 0.0), ('near', 0.1), ('work', 0.0), ('mention', 0.0), ('samson', 0.0), ('got', 0.0), ('carry', 0.0), ('stock', 0.0), ('brand', 0.0), ('back', 0.0), ('amazon', 0.0), ('charge', 0.0), ('last', 0.0), ('great', 0.8), ('fall', 0.0), ('cost', 0.0)]","[('perfectly', 1.0)]","[('cheap', 0.4), ('great', 0.8), ('perfectly', 1.0)]",[0.55000000000000004],Positive,Positive
99,Good lengthEasy to useVery fast chargingI would recommend it to persons who use their phone a lot.,"[('lot', 0.0), ('fast', 0.2), ('good', 0.7), ('use', 0.0)]","[('good', 0.7)]","[('fast', 0.2), ('good', 0.7)]",[0.29999999999999999],Positive,Positive
100,luving it  right now will last about 4 mo so you cant beat the price for it I got 4 of them,"[('right', 0.2857142857142857), ('can', 0.0), ('price', 0.0), ('got', 0.0), ('beat', 0.0), ('last', 0.0)]","[('right', 0.2857142857142857)]","[('right', 0.2857142857142857)]",[0.14285714285714285],Positive,Positive
101,"JUNK!!!......This product must be miss labeled.  I can not get my Samsung S2 phone to charge with this OEM charger.  The lights are on, the phone says its charging but nothing happens.  I am not sure if I got a defective product but it is veryery upsetting to sit in your car for hours and not see your phone recharge.  If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.  It charges fast and is dependable.","[('sure', 0.5), ('get', 0.0), ('samson', 0.0), ('got', 0.0), ('fast', 0.2), ('miss', 0.0), ('purchase', 0.0), ('charge', 0.0), ('adapted', 0.0), ('reliable', 0.0), ('see', 0.0), ('sit', 0.0), ('defective', 0.0), ('need', 0.0), ('product', 0.0)]","[('sure', 0.5)]","[('sure', 0.5), ('fast', 0.2)]",[0.23333333333333331],Negative,Positive
102,"A veryery good car charger for your phones, charged my phone pretty quickly and quite affordable, I recommend it to anyone to have as a back up to your charger.","[('back', 0.0), ('quickly', 0.3333333333333333), ('charge', 0.0), ('good', 0.7), ('unfordable', 0.0), ('charged', 0.0)]","[('good', 0.7)]","[('quickly', 0.3333333333333333), ('good', 0.7)]",[0.34444444444444439],Positive,Positive
103,"The Samsung car charger has stopped working within a 6 month period.  I thought a fuse was blown inside the unit but when I attempted to change it, I have noticed that it does not come apart like most veryehicle chargers.","[('inside', 0.0), ('period', 0.0), ('samson', 0.0), ('attempted', 0.0), ('apart', 0.0), ('come', 0.0), ('like', 0.0), ('charge', 0.0), ('unit', 0.0), ('fuse', 0.0), ('change', 0.0)]","[('good', 0)]",[],[0.0],Negative,Negative
104,"WHAT A GREAT PRICE!RIGHT OUT OF THE BOX, PLUG N UPLOAD SUM JUICE ...DON'T KNOW IF DROPPING IT REPEATEDLY ON THE FLOORBOARD,OR OCCASIONALLY STUFFING IT IN CONSOLE TO HIDE CAUSED FAILURE ...BUT SOON THE GREEN LIGHT FAILED TO LIGHT, AND PHONES DISPLAY SHOWEDIT WASN'T CHARGING. SO EITHER SPEND SEVERAL MORE DOLLARS FOR ONE WITHA HEAVIER CORD/STRONGER SHELL OR TREAT IT AS A DELICATE FLOWER.","[('sum', 0.0), ('right', 0.2857142857142857), ('green', -0.2), ('failed', -0.5), ('display', 0.0), ('price', 0.0), ('box', 0.0), ('shell', 0.0), ('treat', 0.0), ('plug', 0.0), ('occasionally', 0.0), ('great', 0.8), ('light', 0.4), ('failure', -0.3166666666666667)]","[('great', 0.8)]","[('great', 0.8), ('green', -0.2), ('right', 0.2857142857142857), ('light', 0.4)]",[0.25714285714285717],Negative,Positive
105,Sprint wanted $30 fro the same item.  This is OEM and not third party after market. Bought two.  Work great,"[('bought', 0.0), ('work', 0.0), ('great', 0.8), ('wanted', 0.0), ('spring', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
106,Plugged into the car and worked the first couple of days. Has not worked since. My phone does not even recognize it is plugged in.,"[('plugged', 0.0), ('couple', 0.0), ('first', 0.25), ('recognize', 0.0)]","[('first', 0.25)]","[('first', 0.25)]",[0.125],Negative,Negative
107,This charger works great. I love the fact that the LED on it does not light up until it is plugged into the phone. Great bargain.,"[('plugged', 0.0), ('love', 0.5), ('fact', 0.0), ('charge', 0.0), ('great', 0.8), ('light', 0.4), ('led', 0.0)]","[('great', 0.8)]","[('great', 0.8), ('light', 0.4), ('love', 0.5)]",[0.42500000000000004],Positive,Positive
108,"Though I`m not a expert in cell phone chargers. This thing works good, but its not all fireworks and hotel parties. Its a charger and it works so I guess buy it.","[('charge', 0.0), ('guess', 0.0), ('good', 0.7), ('buy', 0.0)]","[('good', 0.7)]","[('good', 0.7)]",[0.34999999999999998],Positive,Positive
109,I used this charger for a couple of months now. Its a veryery good charger. It charges my phone veryery quickly.,"[('quickly', 0.3333333333333333), ('used', 0.0), ('couple', 0.0), ('charge', 0.0), ('good', 0.7)]","[('good', 0.7)]","[('quickly', 0.3333333333333333), ('good', 0.7)]",[0.34444444444444439],Positive,Positive
110,It is Samsung brand..works with my Android phones..Galaxy Nexus 4 and Galaxy S2 and S3...recommend it highly for anyone with a microUSB phone,"[('brand', 0.0), ('samson', 0.0), ('galaxy', 0.0)]","[('good', 0)]",[],[0.0],Positive,Negative
111,I needed a car charger and this was veryery affordable and it worksgreat! The same thing from the store was three times the price.,"[('needed', 0.0), ('price', 0.0), ('unfordable', 0.0), ('charge', 0.0)]","[('good', 0)]",[],[0.0],Positive,Negative
112,"good oem car charger, i originally bought it for my galaxy S2 and later on that week I upgrated to the Galaxy S3 and it works prefectly fine, I would recommend this product","[('galaxy', 0.0), ('charge', 0.0), ('bought', 0.0), ('good', 0.7), ('fine', 0.4166666666666667), ('perfectly', 1.0), ('product', 0.0)]","[('perfectly', 1.0)]","[('fine', 0.4166666666666667), ('perfectly', 1.0), ('good', 0.7)]",[0.52916666666666667],Positive,Positive
113,You have to hold it in a certain place in other for it to charge. I will just buy the Verizon  charger instead,"[('place', 0.0), ('certain', 0.21428571428571427), ('hold', 0.0), ('buy', 0.0), ('charge', 0.0)]","[('certain', 0.21428571428571427)]","[('certain', 0.21428571428571427)]",[0.10714285714285714],Negative,Negative
114,This charger works perfectly.  It is the official Samsung charger so I was sure it would work just fine. I highly recommend it.,"[('sure', 0.5), ('samson', 0.0), ('charge', 0.0), ('work', 0.0), ('fine', 0.4166666666666667), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('sure', 0.5), ('fine', 0.4166666666666667), ('perfectly', 1.0)]",[0.47916666666666669],Positive,Positive
115,"I use this charger with my GS2 from Straight Talk.  This charger is working as expected, charges the phone fine and seems like a quality product, not flimsy and cheap feeling like some chargers I have ordered in the past.","[('talk', 0.0), ('ordered', 0.0), ('like', 0.0), ('quality', 0.0), ('product', 0.0), ('charge', 0.0), ('cheap', 0.4), ('fine', 0.4166666666666667), ('past', -0.25), ('expected', -0.1), ('use', 0.0)]","[('fine', 0.4166666666666667)]","[('cheap', 0.4), ('fine', 0.4166666666666667)]",[0.2722222222222222],Positive,Positive
116,"This thing worked well when it actually functioned, but today it stopped working and I am past the 30 day return window by 10 days give or take.I am guessing the quality might not be great as that is why it stopped working, who knows.. What a waste of money.","[('take', 0.0), ('well', 0.0), ('function', 0.0), ('great', 0.8), ('waste', -0.2), ('quality', 0.0), ('return', 0.0), ('give', 0.0), ('past', -0.25)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Negative,Positive
117,Hope to use it soon.  My other one worked sometimes.  This one does not have the light on unless you are charging.,"[('sometimes', 0.0), ('light', 0.4), ('hope', 0.0), ('use', 0.0)]","[('light', 0.4)]","[('light', 0.4)]",[0.20000000000000001],Positive,Positive
118,"es un cable para carro de excelente calidad , original de samsung , lo tengo algun tiempo sin ningun problema","[('original', 0.375), ('samson', 0.0), ('cable', 0.0), ('excellent', 1.0), ('sin', 0.0), ('carry', 0.0)]","[('excellent', 1.0)]","[('excellent', 1.0), ('original', 0.375)]",[0.45833333333333331],Positive,Positive
119,"I went thru 3 car charges which they all either stopped working after a few uses or never worked to begin with.This car harder not only works it also charges my phone lightening fast!!! LOVE IT, LOVE IT LOVE IT!!If u are debating u can rest assured this thing is awesome.","[('begin', 0.0), ('went', 0.0), ('rest', 0.0), ('love', 0.5), ('fast', 0.2), ('awesome', 1.0)]","[('awesome', 1.0)]","[('awesome', 1.0), ('fast', 0.2), ('love', 0.5)]",[0.42499999999999999],Positive,Positive
120,"First, this is kind of cheap-looking, but I did try to buy the cheapest OEM car charger I could for my phone, so that is forgiveable.  The springs on the side do not have much force, though, so this is constantly slipping out of the 12V car port.  The cable is sturdy, but the rubber near the connector is kind of stiff, which makes charging AND operating your phone on the go a bit of a hassle.  It is held up well since I purchased it though.UPDATE:  Stopped charging after a month.","[('first', 0.25), ('bit', 0.0), ('well', 0.0), ('side', 0.0), ('try', 0.0), ('force', 0.0), ('cable', 0.0), ('buy', 0.0), ('cheap', 0.4), ('much', 0.2), ('sturdy', 0.0), ('charge', 0.0), ('near', 0.1), ('go', 0.0), ('purchased', 0.0)]","[('cheap', 0.4)]","[('cheap', 0.4), ('first', 0.25)]",[0.21666666666666667],Negative,Positive
121,"I have been using this for about 4 months now and it works just as it is intended.  I would buy again.  Quality product.The cord could stand to be a little longer, but it is of a decent length.","[('little', -0.1875), ('intended', 0.0), ('buy', 0.0), ('quality', 0.0), ('product', 0.0)]","[('little', 0.1875)]","[('little', -0.1875)]",[-0.09375],Positive,Negative
122,Works great nice long cord. Does the trick. Bought several of these to put in diff. rooms & one for work.,"[('rooms', 0.0), ('put', 0.0), ('nice', 0.6), ('bought', 0.0), ('long', -0.05), ('work', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('nice', 0.6), ('great', 0.8), ('long', -0.05)]",[0.33749999999999997],Positive,Positive
123,Good charger and is perfect because it is also has a USB connection. Also love that it is original material it works like that too giving a quick charge when i need it.,"[('original', 0.375), ('love', 0.5), ('quick', 0.3333333333333333), ('perfect', 1.0), ('like', 0.0), ('charge', 0.0), ('good', 0.7), ('need', 0.0)]","[('perfect', 1.0)]","[('original', 0.375), ('perfect', 1.0), ('good', 0.7), ('love', 0.5)]",[0.51500000000000001],Positive,Positive
124,I have had 3 phone chargers go bad in two weeks. I can not say where I purchased them. Most chargers for cell phones are cheaply made. This one is OK I guess.,"[('bad', -0.6999999999999998), ('made', 0.0), ('guess', 0.0), ('go', 0.0), ('say', 0.0), ('purchased', 0.0)]","[('bad', 0.6999999999999998)]","[('bad', -0.6999999999999998)]",[-0.34999999999999992],Negative,Negative
